dispatch_number,date,time,address,location,location_detail,activity,activity_medium,disposition,details,details_text
22029909,2022-03-01,12:12:00 AM,1660 SYCAMORE ST,SYCAMORE MALL,1660 SYCAMORE ST,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,Y,BEHIND HERE
22031852,2022-03-04,1:58:00 PM,1660 SYCAMORE ST,SYCAMORE MALL,1660 SYCAMORE ST,PROPERTY/FOUND,PROPERTY/FOUND,COMPLETED,N,NA
22031922,2022-03-04,4:39:00 PM,1646 SYCAMORE ST,DOLLAR TREE,1646 SYCAMORE ST,WELFARE CHECK,WELFARE CHECK,UNABLE TO LOCATE,Y,"GREEN CAMRY LIC/232ZCP, 3 KIDS UNDER 5 YRS OLD LEFT IN A CAR FOR A LONG TIME"
22028836,2022-02-27,12:00:00 AM,2001 Keokuk St,KEOKUK ST APARTMENTS,2001 Keokuk St 10,911 HANGUP,911 HANGUP,COMPLETED,N,NA
22028840,2022-02-27,12:13:00 AM,11 S DUBUQUE ST,MICKEYS IRISH PUB,11 S DUBUQUE ST,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,Y,INTOX FEM NEEDS TO LEAVE
22028843,2022-02-27,12:17:00 AM,Keokuk St/Cross Park Ave,NA,Keokuk St/Cross Park Ave,TRAFFIC STOP,TRAFFIC STOP,TRAFFIC CITATION,N,NA
22028847,2022-02-27,12:31:00 AM,12 S Dubuque St,SPORTS COLUMN,12 S Dubuque St,INTOXICATED PEDESTRIAN,INTOXICATED PEDESTRIAN,WARNING ISSUED VERBAL,Y,FEMALE
22028851,2022-02-27,12:43:00 AM,504 E BURLINGTON ST,L&M MIGHTY SHOP,504 E BURLINGTON ST,TRAFFIC STOP,TRAFFIC STOP,CHARGED/RELEASED,Y,GRY DODG JOUR
22028852,2022-02-27,12:46:00 AM,E Washington St/S Dubuque St,NA,E Washington St/S Dubuque St,OUT WITH SUBJ,OUT WITH SUBJ,WARNING ISSUED VERBAL,Y,SUBNECT W/GUITAR & AMP
22028853,2022-02-27,12:48:00 AM,1907 Keokuk St,KWIK STAR,1907 Keokuk St,OUT WITH SUBJ,OUT WITH SUBJ,COMPLETED,N,NA
22028857,2022-02-27,12:52:00 AM,12 S Dubuque St,SPORTS COLUMN,12 S Dubuque St,TRESPASS,TRESPASS,COMPLETED,Y,"INTOX MALE NEEDS TO GO, NO WEAPONS"
22028858,2022-02-27,12:55:00 AM,E College St/S Johnson St,NA,E College St/S Johnson St,TRAFFIC STOP,TRAFFIC STOP,ARREST MADE,N,NA
22028860,2022-02-27,12:56:00 AM,505 E COLLEGE ST,505-507 E COLLEGE LLC,505 E COLLEGE ST,TR/PARKING,TR/PARKING,COMPLETED,N,"
"
22028864,2022-02-27,1:04:00 AM,102 S Clinton St,MIDWESTONE BANK,102 S Clinton St,911 HANGUP,911 HANGUP,INFORMATION,N,NA
22028868,2022-02-27,1:14:00 AM,118 S DUBUQUE ST,FIELDHOUSE BAR,118 S DUBUQUE ST,DIST/FIGHT IN PROGRESS,DIST/FIGHT IN PROGRESS,COMPLETED,N,NA
22028870,2022-02-27,1:20:00 AM,114 E WASHINGTON ST,MESA PIZZA,114 E WASHINGTON ST,911 HANGUP,911 HANGUP,INFORMATION,N,NA
22028872,2022-02-27,1:21:00 AM,914 Benton Dr,NA,914 Benton Dr,DIST/NOISE GENERAL,DIST/NOISE GENERAL,COMPLETED,Y,SILVER FORD FUSION BLASTING MUSIC
22028873,2022-02-27,1:25:00 AM,441 S Gilbert St,SAMS PIZZA,441 S Gilbert St,911 HANGUP,911 HANGUP,UNABLE TO LOCATE,N,NA
22028876,2022-02-27,1:46:00 AM,28 S Linn St,NA,28 S Linn St,911 HANGUP,911 HANGUP,INFORMATION,N,NA
22028882,2022-02-27,1:55:00 AM,2401 HWY 6 E,THE QUARTERS,2401 HWY 6 E,MVA/HIT AND RUN PD,MVA/HIT AND RUN PD,COMPLETED,N,NA
22028888,2022-02-27,2:04:00 AM,Church St/N Dubuque St,NA,Church St/N Dubuque St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22028889,2022-02-27,2:06:00 AM,1907 Keokuk St,KWIK STAR,1907 Keokuk St,TR/RECKLESS DRIVER,TR/RECKLESS DRIVER,UNABLE TO LOCATE,N,NA
22028890,2022-02-27,2:08:00 AM,415 S VAN BUREN ST,NA,415 S VAN BUREN ST 8,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,Y,"SOMEBODY IS OUTSIDE HER DOOR, NOT KNOCKING -- SOUNDS LIKE A MALE, CAN HEAR THEM TALKING.  SEVERAL CARS PULLED UP, AND A CAR LEFT, AND A BUNCH OF PEOPLE LEFT AND ALL GOT OUT OF THE CAR"
22028891,2022-02-27,2:12:00 AM,220 S Gilbert ST,ROBERT A LEE RECREATION CENTER,220 S Gilbert ST,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22028899,2022-02-27,2:20:00 AM,323 E BURLINGTON ST,KUM & GO,323 E BURLINGTON ST,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,COMPLETED,N,NA
